domain,company,keyword,sector,description,score,risk
841932-sasktels.com,SaskTel,sasktel,telecom,"Phishing site impersonating SaskTel",40,medium
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities",40,medium
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40,medium
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40,medium
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40,medium
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40,medium
bellacasarenovations-handymanservices.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bellaire-houstontreeservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
belle-france-automobile-tours.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
belleville-il-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bellevueroofgutterpressurecleaningservice.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bellevue-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
belle-web.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bellezas-de-jalisco.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bellingham-real-estate-online.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bellingham-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bell-invoice-portal.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-mobile.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bell-mobile.live,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-mobilesupport.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-online.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-overpayment.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",65,high
bell-pottingerdigital.london,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-reset.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-service.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell.services,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell.support,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-support.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-support.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
bell-update.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",55,medium
cashbackdatamobile-freedom.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
cogeco-account.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",55,medium
cogecomoldremediationeuless.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco-myaccount.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",55,medium
cogeco.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco-online.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco-secure.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",55,medium
cogeco-servicepro.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco.services,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco.support,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
cogeco-tech-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40,medium
eastlink-billingca.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-billings.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-eusers.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-notice.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-service.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink.services,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink.support,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-support.cc,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-tech-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-users.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-users.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink-web.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
eastlink.website,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40,medium
e-docs-bellaterracenursing.tk,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,medium
eeyou-services.com,Eeyou Communications,eeyou,telecom,"Phishing site impersonating Eeyou Communications",40,medium
epcor-account.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR",55,medium
epcor-billing.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR",40,medium
execulink.online,Execulink Telecom,execulink,telecom,"Phishing site impersonating Execulink Telecom",40,medium
fido-2billingservice.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-3svbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido611-compte.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-8dsbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-accessories.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-accountbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-account-interact-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-accountpayment.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-account-update.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-alert.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-alerte.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-alert.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-alert.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-alerts.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-alerts.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-and-friend.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-auth.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-authentication.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-authenticator.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-authenticator.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-authenticator.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-authenticator.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-authenticator.se,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-authetication.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-billing.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-billingdept.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-billing.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-billinginformation.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-billingrefund.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-billingreview.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-carrierbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-carrier-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-client.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-clients.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
