domain,category,detected_at
enbridge-bill-payment.com,utilities,2025-09-02T19:09:54Z
fortisbc-account.com,utilities,2025-09-02T19:09:54Z
hydroquebec-payment.com,utilities,2025-09-02T19:09:54Z
bchydro-bill.com,utilities,2025-09-02T19:09:54Z
saskpower-account.com,utilities,2025-09-02T19:09:54Z
manitobahydro-payment.com,utilities,2025-09-02T19:09:54Z
hydroone-bill.com,utilities,2025-09-02T19:09:54Z
torontohydro-payment.com,utilities,2025-09-02T19:09:54Z
alectra-account.com,utilities,2025-09-02T19:09:54Z
epcor-bill.com,utilities,2025-09-02T19:09:54Z
newfoundlandpower-payment.com,utilities,2025-09-02T19:09:54Z
hydroquebec-verify.com,utilities,2025-09-02T19:09:54Z
bchydro-verify.com,utilities,2025-09-02T19:09:54Z
saskpower-verify.com,utilities,2025-09-02T19:09:54Z
manitobahydro-verify.com,utilities,2025-09-02T19:09:54Z
bell-account-verify.com,utilities,2025-09-02T19:09:54Z
rogers-secure-login.com,utilities,2025-09-02T19:09:54Z
telus-verify.com,utilities,2025-09-02T19:09:54Z
shaw-account-update.com,utilities,2025-09-02T19:09:54Z
cogeco-secure.com,utilities,2025-09-02T19:09:54Z
videotron-verify.com,utilities,2025-09-02T19:09:54Z
freedommobile-secure.com,utilities,2025-09-02T19:09:54Z
koodo-verify.com,utilities,2025-09-02T19:09:54Z
virginmobile-secure.com,utilities,2025-09-02T19:09:54Z
fido-account-update.com,utilities,2025-09-02T19:09:54Z
chatr-secure.com,utilities,2025-09-02T19:09:54Z
publicmobile-verify.com,utilities,2025-09-02T19:09:54Z
bell-secure-login.com,utilities,2025-09-02T19:09:54Z
rogers-verify.com,utilities,2025-09-02T19:09:54Z
telus-secure-login.com,utilities,2025-09-02T19:09:54Z
shaw-verify.com,utilities,2025-09-02T19:09:54Z
cogeco-verify.com,utilities,2025-09-02T19:09:54Z
videotron-secure-login.com,utilities,2025-09-02T19:09:54Z
enbridge-verify.com,utilities,2025-09-02T19:09:54Z
fortisbc-verify.com,utilities,2025-09-02T19:09:54Z
fortisalberta-verify.com,utilities,2025-09-02T19:09:54Z
atcoelectric-verify.com,utilities,2025-09-02T19:09:54Z
epcor-verify.com,utilities,2025-09-02T19:09:54Z
transalta-verify.com,utilities,2025-09-02T19:09:54Z
capitalpower-verify.com,utilities,2025-09-02T19:09:54Z
brookfieldrenewable-verify.com,utilities,2025-09-02T19:09:54Z
utility-bill-payment.com,utilities,2025-09-02T19:09:54Z
utility-account-verify.com,utilities,2025-09-02T19:09:54Z
utility-secure-login.com,utilities,2025-09-02T19:09:54Z
utility-verify.com,utilities,2025-09-02T19:09:54Z
utility-secure.com,utilities,2025-09-02T19:09:54Z
utility-account-update.com,utilities,2025-09-02T19:09:54Z
