domain,company,keyword,description,score,risk
10001-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
10001-interac.info,Interac,interac,"Phishing site impersonating Interac",65,high
1111-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
13-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
1418-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
1-bmo-client-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,medium
1-interacs.shop,Interac,interac,"Phishing site impersonating Interac",40,medium
1services-bancaires-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40,medium
1xbet-bmo.top,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",65,high
1xbet-tdh.top,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",65,high
2b-interactive.ca,Interac,interac,"Phishing site impersonating Interac",40,medium
377381-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
38912-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
4031-interac-23.com,Interac,interac,"Phishing site impersonating Interac",40,medium
4733-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
5-interac.com,Interac,interac,"Phishing site impersonating Interac",40,medium
acces-desjardins.online,Desjardins,desjardins,"Phishing site impersonating Desjardins",40,medium
accesd-web-desjardins-info.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40,medium
access-interac-funds-cad-transf.com,Interac,interac,"Phishing site impersonating Interac",40,medium
acceuil-client-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40,medium
accountupdate-td.eu,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",55,medium
accweb-desjardins-enligne-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40,medium
accweb-mouv-desjardins.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40,medium
accweb-mouvement-desjardins-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40,medium
accwebmov-desjardins.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40,medium
activate-tdauth1.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
alert-easyweb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
app-online-rbc.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",40,medium
app-rbconlinehome.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",40,medium
app-rbconlines.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",40,medium
app-tdweb.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
auth-easy-webb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authencation-td-easyweb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authenticateform-rbcmobileappssl.info,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",65,high
authentication-scotiaonline.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",40,medium
authentication-td.click,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authentication-td.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authentication-td.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authentication-td-mobile.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authentication-td-mobile.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",65,high
authentication-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
authentication-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",65,high
authentificationform-scotiamobilewebssl.info,Scotiabank,scotia,"Phishing site impersonating Scotiabank",65,high
authorise-tdevicehelpservice.co.uk,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
auth-royalbank.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40,medium
authscotiaonline-scotiabank.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",40,medium
auth-tdeasywb.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
auth-tdeasywb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
auth-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
auth-td-online.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
auth-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",65,high
auth-tdsecure.net,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",55,medium
best-tds.online,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,medium
bmo-1authdigital.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40,medium
bmo-1dataverify.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",80,high
