domain,company,keyword,sector,description,score
841932-sasktels.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities",70
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",70
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",60
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40
bellacasarenovations-handymanservices.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
bellaire-houstontreeservice.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
belle-france-automobile-tours.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
belleville-il-yard-services.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
bellevueroofgutterpressurecleaningservice.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
bellevue-wa-yard-services.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
belle-web.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
bellezas-de-jalisco.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",70
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",70
bellingham-real-estate-online.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
bellingham-wa-yard-services.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
bell-invoice-portal.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-mobile.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",70
bell-mobile.live,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-mobilesupport.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-online.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-overpayment.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",90
bell-pottingerdigital.london,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-reset.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-service.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell.services,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell.support,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-support.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40
bell-support.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",70
bell-update.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",60
cashbackdatamobile-freedom.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40
cogeco-account.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",60
cogecomoldremediationeuless.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
cogeco-myaccount.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",60
cogeco.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",70
cogeco-online.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40
cogeco-secure.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",60
cogeco-servicepro.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40
cogeco.services,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40
cogeco.support,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40
cogeco-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40
cogeco-tech-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",40
eastlink-billingca.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-billings.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-eusers.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-notice.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",70
eastlink-service.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink.services,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink.support,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-support.cc,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-tech-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-users.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink-users.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",70
eastlink-web.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
eastlink.website,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",40
e-docs-bellaterracenursing.tk,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
eeyou-services.com,Eeyou Communications,eeyou,telecom,"Phishing site impersonating Eeyou Communications",40
epcor-account.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR",60
epcor-billing.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR",40
execulink.online,Execulink Telecom,execulink,telecom,"Phishing site impersonating Execulink Telecom",70
fido-2billingservice.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-3svbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido611-compte.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
fido-8dsbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-accessories.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-accountbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-account-interact-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-accountpayment.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-account-update.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-alert.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-alerte.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-alert.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-alert.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-alerts.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-alerts.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-and-friend.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-auth.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-authentication.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-authenticator.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-authenticator.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-authenticator.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-authenticator.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-authenticator.se,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-authetication.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-billing.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-billingdept.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-billing.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-billinginformation.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-billingrefund.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-billingreview.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-carrierbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
