domain,company,keyword,sector,description
841932-sasktels.com,SaskTel,sasktel,telecom,"Phishing site impersonating SaskTel"
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities"
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro"
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro"
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro"
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro"
bellacasarenovations-handymanservices.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bellaire-houstontreeservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
belle-france-automobile-tours.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
belleville-il-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bellevueroofgutterpressurecleaningservice.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bellevue-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
belle-web.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bellezas-de-jalisco.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bellingham-real-estate-online.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bellingham-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-invoice-portal.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-mobile.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-mobile.live,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-mobilesupport.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-online.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-overpayment.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-pottingerdigital.london,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-reset.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-service.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell.services,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell.support,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-support.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-support.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
bell-update.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
cashbackdatamobile-freedom.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
cogeco-account.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogecomoldremediationeuless.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco-myaccount.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco-online.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco-secure.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco-servicepro.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco.services,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco.support,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
cogeco-tech-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco"
eastlink-billingca.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-billings.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-eusers.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-notice.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-service.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink.services,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink.support,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-support.cc,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-tech-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-users.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-users.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink-web.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
eastlink.website,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink"
e-docs-bellaterracenursing.tk,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada"
eeyou-services.com,Eeyou Communications,eeyou,telecom,"Phishing site impersonating Eeyou Communications"
epcor-account.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR"
epcor-billing.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR"
execulink.online,Execulink Telecom,execulink,telecom,"Phishing site impersonating Execulink Telecom"
fido-2billingservice.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-3svbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido611-compte.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-8dsbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-accessories.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-accountbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-account.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-account-interact-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-accountpayment.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-account-update.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-alert.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-alerte.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-alert.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-alert.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-alerts.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-alerts.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-and-friend.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-auth.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authentication.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authenticator.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authenticator.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authenticator.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authenticator.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authenticator.se,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-authetication.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-billing.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-billingdept.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-billing.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-billinginformation.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-billingrefund.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-billingreview.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-carrierbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-carrier-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-client.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-clients.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-clients.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-clientsupport.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-communication.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido.digital,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-digital.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-easylogin.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-e-transfer.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-e-transfer-secure.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-infobilling.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-info-personnel.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-informationbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-login.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-login.eu,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-manage-account.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido--mobile01.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile-account.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile-carrier.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile.co.uk,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobiles.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobiles.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobiles.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobiles.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile-support.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile-web.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobile.xyz,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobilityaccount-5g.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-mobilityservices-overview.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-myaccount.app,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-myaccountapp.ltd,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-myaccount.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-myaccountovercharge2019.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-myservice.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-notice.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-onelogin.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-online.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-online.de,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-onlinefunds.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-onlinemarketplace.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-online.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-online.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-onlinesupport.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-online-web1.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-payment.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-payments.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-petservice.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-portal.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-portalinc.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-rebate-icc.site,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-rebate-return.site,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-refund.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-refundsecure75.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-refundservice.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secure1.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secure.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secured.live,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secured.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secureintl-ca.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secure.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-secure-refund75.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-security-center.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-security.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicedesk.ca,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicedesk.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicedesk.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicedesk.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-service-mobilepay.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-service-overview.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido.services,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-services.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicesnotice.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicesolcom.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-servicesrefunds.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-site1.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solservices.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fidosolution-annualbilling.site,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solution-notice.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions-overdue-forward.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions-overdue-forward.site,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions-overdue-redirect.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions-overdue-redirect.site,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions-overdue-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-solutions-support.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido.support,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-support.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-support.icu,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-support.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-supportmobile.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-support-mobility.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-supportmobility.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-support.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-support.org,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-svdbilling09.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-svdbilling10.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-svdbilling11.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-svdbilling49.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fidoteam-verificationdepartement.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-update.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-updatepayment.info,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-updates.online,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-updates.top,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-verification1.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-verification.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-verifications.live,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-verifications.net,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-verify-account.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-verify-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-webpage.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido.website,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-wireless-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fido-wirelessrefundclient65.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fidowireless-supportcarrier.com,Fido,fido,telecom,"Phishing site impersonating Fido"
fizz-90s.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-buzz.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz.digital,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-digital.co.uk,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-mine.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-mobile.com,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-referral-code-reference.info,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz.services,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizzslots-casino-online.ru,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-slots-official-casino.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizzslots-official-casino.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-system.website,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
fizz-web.com,Fizz,fizz,telecom,"Phishing site impersonating Fizz"
freedommobile-account.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-cashbackonline.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-clientcare.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-credit.info,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-credit.ru,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-deposit-funds.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-gift.info,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-giftpay.info,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-lnterac-payment.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-login.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-myaccount.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-myaccounts.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-onelogin.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile.online,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-onlinecashback101.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
