domain,company,keyword,description,score
10001-interac.com,Interac,interac,"Phishing site impersonating Interac",40
10001-interac.info,Interac,interac,"Phishing site impersonating Interac",70
1111-interac.com,Interac,interac,"Phishing site impersonating Interac",40
13-interac.com,Interac,interac,"Phishing site impersonating Interac",40
1418-interac.com,Interac,interac,"Phishing site impersonating Interac",40
1-bmo-client-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60
1-interacs.shop,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
1services-bancaires-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40
1xbet-bmo.top,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",70
1xbet-tdh.top,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
2b-interactive.ca,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
377381-interac.com,Interac,interac,"Phishing site impersonating Interac",40
38912-interac.com,Interac,interac,"Phishing site impersonating Interac",40
4031-interac-23.com,Interac,interac,"Phishing site impersonating Interac",40
4733-interac.com,Interac,interac,"Phishing site impersonating Interac",40
5-interac.com,Interac,interac,"Phishing site impersonating Interac",40
acces-desjardins.online,Desjardins,desjardins,"Phishing site impersonating Desjardins",70
accesd-web-desjardins-info.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40
access-interac-funds-cad-transf.com,Interac,interac,"Phishing site impersonating Interac",40
acceuil-client-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40
accountupdate-td.eu,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",60
accweb-desjardins-enligne-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40
accweb-mouv-desjardins.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40
accweb-mouvement-desjardins-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40
accwebmov-desjardins.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",40
activate-tdauth1.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
alert-easyweb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
app-online-rbc.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",40
app-rbconlinehome.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
app-rbconlines.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
app-tdweb.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
auth-easy-webb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authencation-td-easyweb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authenticateform-rbcmobileappssl.info,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
authentication-scotiaonline.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
authentication-td.click,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authentication-td.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authentication-td.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authentication-td-mobile.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authentication-td-mobile.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",70
authentication-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
authentication-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",70
authentificationform-scotiamobilewebssl.info,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
authorise-tdevicehelpservice.co.uk,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
auth-royalbank.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
authscotiaonline-scotiabank.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
auth-tdeasywb.link,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
auth-tdeasywb.org,Unknown Bank,unknown,"Phishing site (bank, unknown target)",40
auth-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
auth-td-online.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40
auth-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",70
auth-tdsecure.net,Unknown Bank,unknown,"Phishing site (bank, unknown target)",60
best-tds.online,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
bmo-1authdigital.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40
bmo-1dataverify.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",90
bmo-1loginapp.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60
bmo-1loginverify-team.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60
bmo-1onlinebanking.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40
bmo-1online.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40
bmo1-restore.online,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
bmo-1secure.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60
bmo-1secure.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",90
bmo-1secure.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",90
bmo1-secure.site,Unknown Bank,unknown,"Phishing site (bank, unknown target)",90
bmo-1secureverif-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60
bmo1user-verify.info,Unknown Bank,unknown,"Phishing site (bank, unknown target)",90
bmo-1validatelogin.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",90
bmo1-validate.online,Unknown Bank,unknown,"Phishing site (bank, unknown target)",70
bmo-1verifydata.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",90
bmo1-verifysecure1login.info,Unknown Bank,unknown,"Phishing site (bank, unknown target)",90
bmo-2info.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",70
bmo-2mobileaccess-main.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40
