domain,category,detected_at
cra-verify.com,government,2025-09-01T19:50:52Z
ontario-secure.com,government,2025-09-01T19:50:52Z
canada-transport-verify.com,government,2025-09-01T19:50:52Z
canada-passport-secure.com,government,2025-09-01T19:50:52Z
canada-border-login.com,government,2025-09-01T19:50:52Z
canadapost-verify.com,government,2025-09-01T19:50:52Z
gov-canada-eta.com,government,2025-09-01T19:50:52Z
reviewgsthstca.com,government,2025-09-01T19:50:52Z
canada-eta-secure.com,government,2025-09-01T19:50:52Z
redelivercadpost.com,government,2025-09-01T19:50:52Z
canadapost-secure.com,government,2025-09-01T19:50:52Z
canada-immigration-verify.com,government,2025-09-01T19:50:52Z
canadapost-tracking.com,government,2025-09-01T19:50:52Z
ontario-license-verify.com,government,2025-09-01T19:50:52Z
quebec-verify.com,government,2025-09-01T19:50:52Z
elections-canada-secure.com,government,2025-09-01T19:50:52Z
canadapost-packagereschedule.com,government,2025-09-01T19:50:52Z
cra-account-update.com,government,2025-09-01T19:50:52Z
servicecanada-login.com,government,2025-09-01T19:50:52Z
quebec-secure.com,government,2025-09-01T19:50:52Z
rcmp-secure.com,government,2025-09-01T19:50:52Z
canada-transport-secure.com,government,2025-09-01T19:50:52Z
ontario-health-verify.com,government,2025-09-01T19:50:52Z
canadapost-login.com,government,2025-09-01T19:50:52Z
bc-secure.com,government,2025-09-01T19:50:52Z
alberta-account-verify.com,government,2025-09-01T19:50:52Z
cra-secure-login.com,government,2025-09-01T19:50:52Z
cra-gst-verify.com,government,2025-09-01T19:50:52Z
quebec-services-verify.com,government,2025-09-01T19:50:52Z
rcmp-verify.com,government,2025-09-01T19:50:52Z
alberta-secure.com,government,2025-09-01T19:50:52Z
cra-mobile-verify.com,government,2025-09-01T19:50:52Z
cra-hst-verify.com,government,2025-09-01T19:50:52Z
hstcra.com,government,2025-09-01T19:50:52Z
alberta-verify.com,government,2025-09-01T19:50:52Z
cra-refund-verify.com,government,2025-09-01T19:50:52Z
canadapost-package.com,government,2025-09-01T19:50:52Z
canada-border-verify.com,government,2025-09-01T19:50:52Z
canadapost-account.com,government,2025-09-01T19:50:52Z
servicecanada-secure.com,government,2025-09-01T19:50:52Z
cra-login-verify.com,government,2025-09-01T19:50:52Z
canada-etavisa.info,government,2025-09-01T19:50:52Z
canada-visa-secure.com,government,2025-09-01T19:50:52Z
canada-border-secure.com,government,2025-09-01T19:50:52Z
elections-canada-login.com,government,2025-09-01T19:50:52Z
canada-visa-verify.com,government,2025-09-01T19:50:52Z
canadapost-delivery.com,government,2025-09-01T19:50:52Z
canada-passport-verify.com,government,2025-09-01T19:50:52Z
etransferdeposit25.com,government,2025-09-01T19:50:52Z
servicecanada-verify.com,government,2025-09-01T19:50:52Z
authhstdeposit.com,government,2025-09-01T19:50:52Z
cra-online-verify.com,government,2025-09-01T19:50:52Z
canpost-orderinfo-help.com,government,2025-09-01T19:50:52Z
ontario-verify.com,government,2025-09-01T19:50:52Z
canada-transport-login.com,government,2025-09-01T19:50:52Z
redelivauth.com,government,2025-09-01T19:50:52Z
rcmp-login.com,government,2025-09-01T19:50:52Z
elections-canada-verify.com,government,2025-09-01T19:50:52Z
canada-immigration-secure.com,government,2025-09-01T19:50:52Z
canada-eta-verify.com,government,2025-09-01T19:50:52Z
setup-canada6517-post4278-now.com,government,2025-09-01T19:50:52Z
bc-verify.com,government,2025-09-01T19:50:52Z
cra-secure.com,government,2025-09-01T19:50:52Z
cra-account-secure.com,government,2025-09-01T19:50:52Z
bc-services-verify.com,government,2025-09-01T19:50:52Z
