id,nca_id,nca_name,nca_jurisdiction,nca_registration_date,nca_url,commercial_name,other_commercial_names,corporate_names,url,other_urls,domain_name,fqdn,ip_address_v4,ip_address_v6,email,lei,categories,categories_detailed,products,products_detailed,social_media,social_media_detailed,regulator_claims,additional_information,validation_date,modification_date
41703,3,British Columbia Securities Commission,British Columbia,2025-10-09,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/mindquestercollegecom,Mindquestercollege.com,,,https://mindquestercollege.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-10,2025-10-10
41698,77,Autorite des marches financiers,Quebec,2025-10-09,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/quantum-leap-company-llc,Quantum Leap Company LLC,Billions Trade Club,Quantum Leap Company LLC,https://www.billionstradeclub.com,,billionstradeclub.com,,172.67.157.52,,admin@billiosntradeclub.com,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"Quantum Leap Company LLC is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Kingstown, St. Vincent and the Grenadines.",2025-10-10,2025-10-10
41492,3,British Columbia Securities Commission,British Columbia,2025-10-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/plus-capital-advisor,Plus Capital Advisor,,,https://www.pluscapitaladvisor.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-06,2025-10-06
41491,3,British Columbia Securities Commission,British Columbia,2025-10-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/btc-trading-pro,BTC Trading Pro,,,https://btctradingpro.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-06,2025-10-06
41490,3,British Columbia Securities Commission,British Columbia,2025-10-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/giga-markets,Giga-Markets,,,https://giga-markets365.net,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-06,2025-10-06
41489,3,British Columbia Securities Commission,British Columbia,2025-10-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/antera-capital,Antera Capital,,,https://anteracapital365.com,https://anteracapital365.co|https://anteracapital365.net,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-06,2025-10-06
41488,3,British Columbia Securities Commission,British Columbia,2025-10-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/revivocapital,RevivoCapital,,,https://revivocapital.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-06,2025-10-06
41471,77,Autorite des marches financiers,Quebec,2025-10-03,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/newapexway,NewApexWay,,,https://trading.newapexway.com,https://newapexway.com,"trading.newapexway.com, newapexway.com",,104.21.43.233,,support@newapexway.com,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"NewApexWay is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Zurich",2025-10-03,2025-10-03
41420,3,British Columbia Securities Commission,British Columbia,2025-10-02,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/capricornx,CapricornX (also known as CapricornXPro),,,https://capricornxpro.net,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-03,2025-10-03
41419,3,British Columbia Securities Commission,British Columbia,2025-09-24,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/nexus-group,"Nexus Group (operating under Nexus Global Foundation, Nexus CMI Core Ltd. and VTO DAO LLC)",,,https://voltgo.cc,https://www.voltgoai.com/index.html#,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-10-03,2025-10-03
