domain,company,keyword,description,score,riskLevel
10001-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
10001-interac.info,Interac,interac,"Phishing site impersonating Interac",55,medium
1111-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
13-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
1418-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
1-bmo-client-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",25,low
1-interacs.shop,Interac,interac,"Phishing site impersonating Interac",55,medium
1services-bancaires-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,low
1xbet-bmo.top,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,medium
1xbet-tdh.top,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",55,medium
2b-interactive.ca,Interac,interac,"Phishing site impersonating Interac",25,low
377381-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
38912-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
4031-interac-23.com,Interac,interac,"Phishing site impersonating Interac",25,low
4733-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
5-interac.com,Interac,interac,"Phishing site impersonating Interac",25,low
acces-desjardins.online,Desjardins,desjardins,"Phishing site impersonating Desjardins",40,low
accesd-web-desjardins-info.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,low
access-interac-funds-cad-transf.com,Interac,interac,"Phishing site impersonating Interac",20,low
acceuil-client-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,low
accountupdate-td.eu,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
accweb-desjardins-enligne-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,low
accweb-mouv-desjardins.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,low
accweb-mouvement-desjardins-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,low
accwebmov-desjardins.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,low
activate-tdauth1.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",25,low
alert-easyweb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
app-online-rbc.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",10,low
app-rbconlinehome.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",10,low
app-rbconlines.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",10,low
app-tdweb.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
auth-easy-webb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
authencation-td-easyweb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",20,low
authenticateform-rbcmobileappssl.info,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",50,medium
authentication-scotiaonline.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",20,low
authentication-td.click,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
authentication-td.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
authentication-td.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,low
