domain,company,keyword,sector,description,score,riskLevel
841932-sasktels.com,SaskTel,sasktel,telecom,"Phishing site impersonating SaskTel",30,LOW
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities",25,LOW
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",50,MEDIUM
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",25,LOW
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",40,MEDIUM
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",5,LOW
bellacasarenovations-handymanservices.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",45,MEDIUM
bellaire-houstontreeservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",25,LOW
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",15,LOW
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",15,LOW
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",25,LOW
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",5,LOW
belle-france-automobile-tours.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",25,LOW
belleville-il-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",45,MEDIUM
bellevueroofgutterpressurecleaningservice.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
bellevue-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",45,MEDIUM
belle-web.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
bellezas-de-jalisco.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",45,MEDIUM
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",45,MEDIUM
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
bellingham-real-estate-online.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",25,LOW
bellingham-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",45,MEDIUM
bell-invoice-portal.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
bell-mobile.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
bell-mobile.live,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",15,LOW
